,SYSTEM,CATG_MGT_PNL,ACCT_CATG,CUST_NAME,ACCT_NAME,ACCT_NO,CONT_NO,LINE_NO,GN,CN,BUSI_CODE,CONTRACT_ADDR1,CONTRACT_ADDR2,CONTRACT_ADDR3,CONTRACT_ADDR4,BUILDING_ID,INST_ADDR_FLAT,INST_ADDR_FLOR,ADDRESS,INST_ADD1,INST_ADD2,INST_ADD3,INST_ADD4
2280607,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,13,24282682,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00010596,SHOP C89,2,SHOPPING CTR KWAI CHUNG PLZ KWAI CHUNG NT,SHOP C89 2/F,KWAI CHUNG PLAZA SHOPPING CTR,KWAI CHUNG PLAZA,KWAI CHUNG NT
2289768,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,3,31628360,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,21300105,SHOP 772,L7,METROPOLIS SHOPPING ARCADE 10 METROPOLIS DRV HUNG HOM KLN,SHOP 772 L7/F,METROPOLIS SHOPPING ARCADE,METROPOLIS,HUNG HOM KLN
2304058,ONOP,BDEL,IC,FORTRESS,FORTRESS,171,1,25550016,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,00007462,COMM RM,6,WATSON HSE 1-5 WO LIU HANG RD SHA TIN NT,COMM RM 6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT
2308739,ONOP,,IC,FORTRESS,FORTRESS,171,1,81218893,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2311183,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,18,35203174,GN00412,CN00000171,VOICE,6/F,WATSON HSE,1-5 WO LIU HANG RD,SHATIN NT,00004293,,2,DEMOLISHED_MOHAN'S BLDG 14-16 HANKOW RD TSIM SHA TSUI KLN,2/F,MOHAN'S BLDG,14-16 HANKOW RD,TSIM SHA TSUI KLN
2333677,ONOP,,IC,FORTRESS,FORTRESS,171,1,81908142,GN00412,CN00000171,VOICE,FLAT 513-516 5/F,HUTCHISON LOGISTICS CENTRE,18 CONTAINER PORT RD S,KWAI CHUNG NT,,,,,,,,
2336612,ONOP,BDEL,IC,FORTRESS,FORTRESS-A DIVISION OF AS WATSON GROUP (HK) LTD,452311,1,25555131,GN00412,CN00000171,VOICE,(HK) LTD,"1/F, CAVENDISH CENTRE",23 YIP HING ST,WONG CHUK HANG,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2338289,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,25,39070413,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00007563,SHOP 316 & 317C,L3,WINDSOR HSE 311 GLOUCESTER RD CAUSEWAY BAY HK,SHOP 316 & 317C L3/F,WINDSOR HSE,311 GLOUCESTER RD,CAUSEWAY BAY HK
2341017,ONOP,BDEL,IC,FORTRESS,FORTRESS,450164,1,28662461,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000037,TOWER 1,2,TOWER 1 / 2 COMM COMPLEX ADMIRALTY CTR 18 HARCOURT RD CENTRAL DISTRICT HK,TOWER 1 2/F,COMM COMPLEX ADMIRALTY CTR,18 HARCOURT RD,CENTRAL DISTRICT HK
2342094,ONOP,BDEL,IC,FORTRESS,FORTRESS A DIVISION OF A.S WATSON GROUP (HK) LTD,11887825,7,25623831,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00100010,FLAT 16-17,B,HOMEWORLD PROVIDENT CTR NORTH POINT HK,FLAT 16-17 B/F,SHOPPING ARC PROVIDENT CTR,WHARF RD,NORTH POINT HK
2343005,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,14,25550716,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,00019853,,1,CAVENDISH CTR 23 YIP HING ST WONG CHUK HANG HK,1/F,CAVENDISH CTR,23 YIP HING ST,WONG CHUK HANG HK
2347085,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,20,31523111,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00005786,SHOP 287A,2 ,SHUN TAK CTR WEST TOWER SHUN TAK CTR SHEUNG WAN HK,SHOP 287A 2/F,SHUN TAK CTR WEST TOWER,SHUN TAK CTR,SHEUNG WAN HK
2348716,ONOP,BDEL,IC,FORTRESS,"FORTRESS, A DIVISION OF A.S. WATSON GROUP (HK) LTD",452394,3,31628357,GN00412,CN00000171,VOICE,6/F,WATSON HOUSE,1 - 5 WO LIU HANG ROAD,FO TAN SHATIN,21300105,SHOP 772,L7,METROPOLIS SHOPPING ARCADE 10 METROPOLIS DRV HUNG HOM KLN,SHOP 772 L7/F,METROPOLIS SHOPPING ARCADE,METROPOLIS,HUNG HOM KLN
2352071,ONOP,BDEL,IC,FORTRESS,FORTRESS,10177137,1,21218636,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00000814,,.,FESTIVAL WALK 80 TAT CHEE AVE KOWLOON TONG KLN,/F,"MTR01, LEVEL MTR,FESTIVAL WALK",80 TAK CHI AVENUE,Kowloon KLN
2361200,ONOP,BDEL,IC,FORTRESS,FORTRESS,452394,27,35210469,GN00412,CN00000171,VOICE,7/F,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00100157,BASEMENT 2,B2,CHEUNG KONG CTR 2 QUEEN'S RD C CENTRAL DISTRICT HK,BASEMENT 2 B2/F,CHEUNG KONG CTR,2 QUEEN'S RD C,CENTRAL DISTRICT HK
2363731,ONOP,BDEL,IC,FORTRESS,FORTRESS,450164,1,28651974,GN00412,CN00000171,VOICE,.,WATSON HSE,1-5 WO LIU HANG RD,SHA TIN NT,00090387,,,TOWER 2 ADMIRALTY CTR 18 HARCOURT RD CENTRAL DISTRICT HK,SHOP 70-79 & 91-97  2/F,ADMIRALTY TOWER 2,18 HARCOURT RD,HK
